Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,D_Small,D_DO-35_SOD27_P7.62mm_Horizontal,62.233147,-53.259044,60,bottom
D2,D_Small,D_DO-35_SOD27_P7.62mm_Horizontal,78.730931,-62.784044,60,bottom
D3,D_Small,D_DO-35_SOD27_P7.62mm_Horizontal,95.228715,-72.309044,60,bottom
D4,D_Small,D_DO-35_SOD27_P7.62mm_Horizontal,111.726499,-81.834044,60,bottom
D5,D_Small,D_DO-35_SOD27_P7.62mm_Horizontal,128.224283,-91.359044,60,bottom
D6,D_Small,D_DO-35_SOD27_P7.62mm_Horizontal,183.758451,-83.084319,120,bottom
D7,D_Small,D_DO-35_SOD27_P7.62mm_Horizontal,200.256235,-73.559319,120,bottom
D8,D_Small,D_DO-35_SOD27_P7.62mm_Horizontal,216.754019,-64.034319,120,bottom
D9,D_Small,D_DO-35_SOD27_P7.62mm_Horizontal,233.251803,-54.509319,120,bottom
D10,D_Small,D_DO-35_SOD27_P7.62mm_Horizontal,249.749587,-44.984319,120,bottom
D11,D_Small,D_DO-35_SOD27_P7.62mm_Horizontal,52.706947,-69.756476,60,bottom
D12,D_Small,D_DO-35_SOD27_P7.62mm_Horizontal,69.204731,-79.281476,60,bottom
D13,D_Small,D_DO-35_SOD27_P7.62mm_Horizontal,85.702515,-88.806476,60,bottom
D14,D_Small,D_DO-35_SOD27_P7.62mm_Horizontal,102.200299,-98.331476,60,bottom
D15,D_Small,D_DO-35_SOD27_P7.62mm_Horizontal,118.698083,-107.856476,60,bottom
D16,D_Small,D_DO-35_SOD27_P7.62mm_Horizontal,193.283452,-99.581619,120,bottom
D17,D_Small,D_DO-35_SOD27_P7.62mm_Horizontal,209.781236,-90.056619,120,bottom
D18,D_Small,D_DO-35_SOD27_P7.62mm_Horizontal,226.27902,-80.531619,120,bottom
D19,D_Small,D_DO-35_SOD27_P7.62mm_Horizontal,242.776804,-71.006619,120,bottom
D20,D_Small,D_DO-35_SOD27_P7.62mm_Horizontal,259.274588,-61.481619,120,bottom
D21,D_Small,D_DO-35_SOD27_P7.62mm_Horizontal,43.181947,-86.253776,60,bottom
D22,D_Small,D_DO-35_SOD27_P7.62mm_Horizontal,59.679731,-95.778776,60,bottom
D23,D_Small,D_DO-35_SOD27_P7.62mm_Horizontal,76.177515,-105.303776,60,bottom
D24,D_Small,D_DO-35_SOD27_P7.62mm_Horizontal,92.675299,-114.828776,60,bottom
D25,D_Small,D_DO-35_SOD27_P7.62mm_Horizontal,109.173083,-124.353776,60,bottom
D26,D_Small,D_DO-35_SOD27_P7.62mm_Horizontal,202.807352,-116.080239,120,bottom
D27,D_Small,D_DO-35_SOD27_P7.62mm_Horizontal,219.305136,-106.555239,120,bottom
D28,D_Small,D_DO-35_SOD27_P7.62mm_Horizontal,235.80292,-97.030239,120,bottom
D29,D_Small,D_DO-35_SOD27_P7.62mm_Horizontal,252.300704,-87.505239,120,bottom
D30,D_Small,D_DO-35_SOD27_P7.62mm_Horizontal,268.798488,-77.980239,120,bottom
D31,D_Small,D_DO-35_SOD27_P7.62mm_Horizontal,116.147067,-150.377396,60,bottom
D32,D_Small,D_DO-35_SOD27_P7.62mm_Horizontal,195.834568,-142.103023,120,bottom
U1,~,Pro-Micro,148.82495,-81.28,180,bottom
