Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,D_Small,D_DO-35_SOD27_P7.62mm_Horizontal,64.138147,-49.959487,120.0,bottom
D2,D_Small,D_DO-35_SOD27_P7.62mm_Horizontal,80.635931,-59.484487,120.0,bottom
D3,D_Small,D_DO-35_SOD27_P7.62mm_Horizontal,97.133715,-69.009487,120.0,bottom
D4,D_Small,D_DO-35_SOD27_P7.62mm_Horizontal,113.631499,-78.534487,120.0,bottom
D5,D_Small,D_DO-35_SOD27_P7.62mm_Horizontal,130.129283,-88.059487,120.0,bottom
D6,D_Small,D_DO-35_SOD27_P7.62mm_Horizontal,181.853451,-79.784762,60.0,bottom
D7,D_Small,D_DO-35_SOD27_P7.62mm_Horizontal,198.351235,-70.259762,60.0,bottom
D8,D_Small,D_DO-35_SOD27_P7.62mm_Horizontal,214.849019,-60.734762,60.0,bottom
D9,D_Small,D_DO-35_SOD27_P7.62mm_Horizontal,231.346803,-51.209762,60.0,bottom
D10,D_Small,D_DO-35_SOD27_P7.62mm_Horizontal,247.844587,-41.684762,60.0,bottom
D11,D_Small,D_DO-35_SOD27_P7.62mm_Horizontal,54.611947,-66.456919,120.0,bottom
D12,D_Small,D_DO-35_SOD27_P7.62mm_Horizontal,71.109731,-75.981919,120.0,bottom
D13,D_Small,D_DO-35_SOD27_P7.62mm_Horizontal,87.607515,-85.506919,120.0,bottom
D14,D_Small,D_DO-35_SOD27_P7.62mm_Horizontal,104.105299,-95.031919,120.0,bottom
D15,D_Small,D_DO-35_SOD27_P7.62mm_Horizontal,120.603083,-104.556919,120.0,bottom
D16,D_Small,D_DO-35_SOD27_P7.62mm_Horizontal,191.378452,-96.282062,60.0,bottom
D17,D_Small,D_DO-35_SOD27_P7.62mm_Horizontal,207.876236,-86.757062,60.0,bottom
D18,D_Small,D_DO-35_SOD27_P7.62mm_Horizontal,224.37402,-77.232062,60.0,bottom
D19,D_Small,D_DO-35_SOD27_P7.62mm_Horizontal,240.871804,-67.707062,60.0,bottom
D20,D_Small,D_DO-35_SOD27_P7.62mm_Horizontal,257.369588,-58.182062,60.0,bottom
D21,D_Small,D_DO-35_SOD27_P7.62mm_Horizontal,45.086947,-82.954219,120.0,bottom
D22,D_Small,D_DO-35_SOD27_P7.62mm_Horizontal,61.584731,-92.479219,120.0,bottom
D23,D_Small,D_DO-35_SOD27_P7.62mm_Horizontal,78.082515,-102.004219,120.0,bottom
D24,D_Small,D_DO-35_SOD27_P7.62mm_Horizontal,94.580299,-111.529219,120.0,bottom
D25,D_Small,D_DO-35_SOD27_P7.62mm_Horizontal,111.078083,-121.054219,120.0,bottom
D26,D_Small,D_DO-35_SOD27_P7.62mm_Horizontal,200.902352,-112.780682,60.0,bottom
D27,D_Small,D_DO-35_SOD27_P7.62mm_Horizontal,217.400136,-103.255682,60.0,bottom
D28,D_Small,D_DO-35_SOD27_P7.62mm_Horizontal,233.89792,-93.730682,60.0,bottom
D29,D_Small,D_DO-35_SOD27_P7.62mm_Horizontal,250.395704,-84.205682,60.0,bottom
D30,D_Small,D_DO-35_SOD27_P7.62mm_Horizontal,266.893488,-74.680682,60.0,bottom
D31,D_Small,D_DO-35_SOD27_P7.62mm_Horizontal,118.052067,-147.077839,120.0,bottom
D32,D_Small,D_DO-35_SOD27_P7.62mm_Horizontal,193.929568,-138.803466,60.0,bottom
U1,~,Pro-Micro,148.82495,-97.66,0.0,bottom
